quest_value,quest_name,quest_legend,link,level_rec
14,Emperor’s Cookies Quest,Emperor Kruzak has some cookies for you. ,https://tibia.fandom.com/wiki/Emperor%27s_Cookies_Quest,20
15,Emperor’s Cookies Quest,Emperor Kruzak has some cookies for you. ,https://tibia.fandom.com/wiki/Emperor%27s_Cookies_Quest,20
16,Emperor’s Cookies Quest,Emperor Kruzak has some cookies for you. ,https://tibia.fandom.com/wiki/Emperor%27s_Cookies_Quest,20
36,Copper Key 3899,Opens a door for the Paradox Tower Quest. ,https://tibia.fandom.com/wiki/Key_3899,
37,Dead Archer Quest,An archer lost his way and died by poison. ,https://tibia.fandom.com/wiki/Dead_Archer_Quest,15
38,Silver Key 3650,"With this key, you can access the Mintwallin storage room. ",https://tibia.fandom.com/wiki/Key_3650,
39,Silver Key 3610,This key provides access to the Mintwallin secret laboratory.,https://tibia.fandom.com/wiki/Key_3610,
40,Silver Key 3701,This key is used to open doors in the Necromant House that leads to a broken Magic Forcefield.,https://tibia.fandom.com/wiki/Key_3701,
41,Paradox Tower Quest,Surpass the wrath of a madman and subject yourself to his twisted taunting. ,https://tibia.fandom.com/wiki/The_Paradox_Tower_Quest,50
42,Paradox Tower Quest,Surpass the wrath of a madman and subject yourself to his twisted taunting. ,https://tibia.fandom.com/wiki/The_Paradox_Tower_Quest,50
43,Paradox Tower Quest,Surpass the wrath of a madman and subject yourself to his twisted taunting. ,https://tibia.fandom.com/wiki/The_Paradox_Tower_Quest,50
44,Paradox Tower Quest,Surpass the wrath of a madman and subject yourself to his twisted taunting. ,https://tibia.fandom.com/wiki/The_Paradox_Tower_Quest,50
46,Impassable Grass,A man tries to rescue his beloved from an evil druid.,https://tibia.fandom.com/wiki/Impassable_Grass_(Book),
49,Silver Key 5010,This key provides access to the caves beneath the Black Knight's Villa in Green Claw Swamp. ,https://tibia.fandom.com/wiki/Key_5010,
50,Black Knight Quest,The former commander of the Royal Army was abandoned by his fellow humans and now has some bones to grind with them…,https://tibia.fandom.com/wiki/Black_Knight_Quest,50
51,Parchment Room Quest,Someone has set up a dangerous trap to protect an important key.,https://tibia.fandom.com/wiki/Parchment_Room_Quest,120
52,Copper Key 4501,This key is used for opening a room with three minotaurs below the Senja Castle.,https://tibia.fandom.com/wiki/Key_4501,
53,Alawar’s Vault Quest,"Alawar has hidden his treasure, which is guarded by his fierce minotaurs and dangerous magical fields.",https://tibia.fandom.com/wiki/Alawar%27s_Vault_Quest,25
54,Copper Key 4503,This key provides access to the Protected Area under the Ice Islands.,https://tibia.fandom.com/wiki/Key_4503,
55,Silver Key 3600,This key allows you to open a door on the Ghoul Room Quest.,https://tibia.fandom.com/wiki/Key_3600,
56,Silver Key 3620,This key is used to lock and unlock all the doors in the Mintwallin prison.,https://tibia.fandom.com/wiki/Key_3620,
57,Silver Key 3667,This key can be found in a dead body in a cave behind Mad Mage Quest room.,https://tibia.fandom.com/wiki/Key_3667,
60,Fanfare Quest,Some Trolls stole a fanfare. ,https://tibia.fandom.com/wiki/Fanfare_Quest,8
61,Bone Key 3520,Use it to enter the Carlin Graveyard.,https://tibia.fandom.com/wiki/Key_3520,
65,White Mushroom Quest,A small but tasty delight.,https://tibia.fandom.com/wiki/White_Mushroom,50
67,Steel Helmet Quest,A minotaur gang's hideout contains stolen items from Kazordoon. ,https://tibia.fandom.com/wiki/Steel_Helmet_Quest,35
68,Steel Helmet Quest,A minotaur gang's hideout contains stolen items from Kazordoon. ,https://tibia.fandom.com/wiki/Steel_Helmet_Quest,35
69,Iron Hammer Quest,An elite group of Cyclopish warriors lost their valuable hammer during a war against the Minotaurs. ,https://tibia.fandom.com/wiki/Iron_Hammer_Quest,30
70,Steel Helmet Quest,A minotaur gang's hideout contains stolen items from Kazordoon. ,https://tibia.fandom.com/wiki/Steel_Helmet_Quest,35
71,Steel Helmet Quest,A minotaur gang's hideout contains stolen items from Kazordoon. ,https://tibia.fandom.com/wiki/Steel_Helmet_Quest,35
72,Elvenbane Quest,An Elf Arcanist hoards treasure in his highly fortified castle.,https://tibia.fandom.com/wiki/Elvenbane_Quest,35
73,Elvenbane Quest,An Elf Arcanist hoards treasure in his highly fortified castle.,https://tibia.fandom.com/wiki/Elvenbane_Quest,35
74,Elvenbane Quest,An Elf Arcanist hoards treasure in his highly fortified castle.,https://tibia.fandom.com/wiki/Elvenbane_Quest,35
75,Elvenbane Quest,An Elf Arcanist hoards treasure in his highly fortified castle.,https://tibia.fandom.com/wiki/Elvenbane_Quest,35
76,Silver Key 3008,"It's one of the 8 keys needed for the Draconia Quest, and found in a bookcase. ",https://tibia.fandom.com/wiki/Key_3008,
77,Draconia Quest,You will need to solve riddles to get the keys and go up in the pyramid. ,https://tibia.fandom.com/wiki/Draconia_Quest,25
78,Draconia Quest,You will need to solve riddles to get the keys and go up in the pyramid. ,https://tibia.fandom.com/wiki/Draconia_Quest,25
79,Poison Daggers Quest,The orcish shamans use poisonous equipment for their rituals. ,https://tibia.fandom.com/wiki/Poison_Daggers_Quest,40
80,Barbarian Axe Quest,The orcs on Edron guard their equipment well in their underground hideout.,https://tibia.fandom.com/wiki/Barbarian_Axe_Quest,40
81,Barbarian Axe Quest,The orcs on Edron guard their equipment well in their underground hideout.,https://tibia.fandom.com/wiki/Barbarian_Axe_Quest,40
82,Berserker Treasure Quest,The orcs on Edron hoard a small treasure in their cave.,https://tibia.fandom.com/wiki/Berserker_Treasure_Quest,40
83,Shaman Treasure Quest,The orcish shamans hoard magical equipment in their hideout. ,https://tibia.fandom.com/wiki/Shaman_Treasure_Quest,30
84,Edron Goblin Quest,Rob the greedy goblins of their small treasure. ,https://tibia.fandom.com/wiki/Edron_Goblin_Quest,15
85,Edron Goblin Quest,Rob the greedy goblins of their small treasure. ,https://tibia.fandom.com/wiki/Edron_Goblin_Quest,15
86,Troll Cave Quest,What can you find among the troll outside Edron?,https://tibia.fandom.com/wiki/Troll_Cave_Quest,12
